Number,Group,Margin and orogen,Where,Start date (Ma),End date (Ma),Lifespan (m.y.),Quality,High-P metamorphism?,Foredeep magmatism?,Length (km)
A60,1,S. American Craton<comma> N side<comma> Venezuela margin,Venezuela,159,34,125,A,Y,N,1080
A61,1,Amazon craton<comma> SE side<comma> Araras margin<comma> Paraguay orogen,Brazil,640,580,60,B,N,N,470
A62,1,Cuyania terrane<comma> Argentine Precordillera<comma> E side,Argentina,530,473,57,A,N,N,640
A63,1,Sao Francisco craton<comma> W side<comma> Brasiliano orogen,Brazil,745,640,105,B,N,N,1080
A64,1,Sao Francisco craton<comma> E side<comma> Aracauai‰ÛÒRibeira orogen,Brazil,900,590,310,B,N,N,750
A65,1,Sao Francisco craton<comma> S side<comma> Transamazonian orogen,Brazil,2500,2130,370,C,N,N,200
A66 (a<comma>b<comma>c),1,Sierra de la Ventana (a)<comma> Cape (b)<comma> and Ellsworth Mtns. (c),Argentina<comma> S. Africa<comma> Antacrtica,500,300,200,B,N,N,2170
A67,1,West African craton<comma> N side<comma> Anti-Atlas orogen,Morocco,800,580,220,C,N,N,560
A68,1,West African craton<comma> W side<comma> Mauritanide orogen,Mauritania,675,650,25,C,N,N,1692
A69,1,West African craton<comma> E side<comma> Dahomeyide orogen,Ghana<comma> Mali,775,625,150,C,Y,N,2200
A70,2,LATEA craton<comma> Hoggar<comma> W side,Algeria<comma> Mali,Unk,870,Unk,D,NA,NA,840
A71,2,LATEA craton<comma> Hoggar<comma> S side,Algeria<comma> Niger,Unk,685,Unk,D,NA,NA,550
A72,1,East Africa Orogen<comma> W side,Sudan,840,730,110,C,N,N,1460
A73,1,Congo Craton<comma> W side<comma> Kaoko Belt (N Coastal Branch) of Damara orogen,Namibia,780,580,200,A,N,N,2175
A74,1,Congo Craton<comma> S side<comma> Inland Branch<comma> Damara orogen,Namibia,670,555,115,A,N,N,1800
A75,1,Kalahari Craton<comma> N side<comma> Inland Branch<comma> Damara orogen,Namibia,670,550,120,A,N,N,540
A76,1,Kalahari Craton<comma> W side<comma> Gariep Belt<comma> (S Coastal Branch) of Damara orogen,Namibia,735,535,200,A,N,N,690
A77,1,Kaapvaal Craton<comma> W side,S. Africa<comma> Botswana,2640,2470,170,C,N,N,810
A78,3,Zimbabwe craton<comma> S side<comma> Belingwe greenstone belt,Zimbabwe,ca. 2600,ca. 2600,Unk,D,N,N,60
A79,1,Australian craton<comma> NW side<comma> Timor orogen,Indonesia,151,4,147,A,Y,N,1530
A80,1,Australian craton<comma> NE side<comma> New Guinea orogen,New Guinea<comma> Irian Jaya,180,26,154,A,N,Y,1380
A81,1,Northwest Australia craton<comma> Halls Creek orogen,Australia,1880,1860,20,C,N,N,270
A82,2,Rudall Complex,Australia,> 2000,1780,> 220,D,N,N,330
A83,1,Pilbara Craton<comma> S margin<comma> Ophthalmian orogen,Australia,2685,2445,240,B,N,Y,580
A84,1,Gawler Craton<comma> NE side<comma> Kimban orogen,Australia,1900,1740,160,C,N,N,650
A85,1,Australia<comma> E side<comma> Tasman orogen,Australia,590,520,70,B,N,N,1670
